danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,cluster,id
0.318,0.303,11.0,-15.572,0.0,0.0302,0.664,0.000223,0.113,0.226,174.254,13.0,1XuccRABkfUVB4FjSVhjL1
0.355,0.761,11.0,-6.309,1.0,0.0978,0.000288,0.0141,0.189,0.685,165.209,4.0,77oq56JTlEBzAH7KNZHvx1
0.605,0.578,1.0,-9.252,1.0,0.0316,0.173,5.15e-05,0.0948,0.655,133.721,3.0,4qvxbMYS7vIra7JTxYW7pt
0.401,0.556,2.0,-10.532,1.0,0.0513,0.0828,0.000359,0.589,0.654,85.206,12.0,6Pq9MmkDQYZiiCDpxnvrf6
0.404,0.591,11.0,-12.277,1.0,0.0724,0.256,0.0346,0.177,0.654,82.44,1.0,74ohdXevc7VsXl96ofi3Kn
0.528,0.514,2.0,-11.909,1.0,0.133,0.0252,0.0894,0.0725,0.44,122.872,10.0,5qA1ZrjjVLh1cL9GZOFdNm
0.338,0.815,9.0,-6.485,1.0,0.0673,0.00325,0.000403,0.0884,0.199,133.014,10.0,7B9F9nLxe7MZgZ68Jj86Fn
0.365,0.77,9.0,-10.492,1.0,0.0764,0.21,0.136,0.503,0.37,130.603,12.0,2BGNomqCxEDcXyxf8bg27k
0.467,0.381,0.0,-13.808,1.0,0.0264,0.235,0.123,0.187,0.697,81.754,11.0,1Qc7zCw6k2KTvSEl4IKSdP
0.357,0.969,1.0,-4.99,1.0,0.124,0.0134,0.0677,0.141,0.704,149.741,4.0,3f5JtAsGRIXN8pSAeTi6vA
0.472,0.526,0.0,-9.505,1.0,0.0309,0.00291,0.000173,0.181,0.771,119.44,3.0,41TqRBgF4Ahyr4vGmZVk8b
0.428,0.923,2.0,-4.454,0.0,0.123,0.0108,0.436,0.0985,0.681,151.005,4.0,34miSNKQ0xN7EG8zzzaFzI
0.584,0.284,7.0,-12.714,1.0,0.0409,0.305,0.000903,0.162,0.386,139.087,13.0,3tRFo1mXVNC5Wwrv7T8trF
0.463,0.926,7.0,-3.204,1.0,0.122,0.0555,0.0,0.478,0.437,91.197,12.0,0lGEWOZvMexZFXckBJxlVO
0.313,0.69,4.0,-10.871,0.0,0.0766,0.0755,1.69e-05,0.195,0.687,182.888,4.0,5Z27tZEeC8WBiQvoDpx1Sw
0.558,0.524,4.0,-10.528,1.0,0.0339,0.109,0.0,0.17,0.727,123.243,3.0,1yexhSDARSLVvRCBU3wDAm
0.336,0.339,11.0,-14.237,1.0,0.0397,0.724,0.608,0.126,0.0768,139.869,2.0,55ZL7fjGAWfClmpnsK6Xon
0.214,0.91,8.0,-6.662,1.0,0.389,0.477,0.00833,0.0517,0.448,175.549,6.0,2AxCeJ6PSsBYiTckM0HLY7
0.786,0.357,4.0,-15.838,0.0,0.0472,0.416,0.00119,0.0756,0.712,88.969,7.0,6fJSEk0GDtPOk3gFxcnbUy
0.294,0.653,2.0,-11.52,1.0,0.0504,0.0612,0.000689,0.14,0.185,95.011,10.0,5FgQkEcqMXCqFdcsEx143b
0.363,0.113,7.0,-23.87,1.0,0.0396,0.885,0.118,0.112,0.0398,166.721,13.0,0TBntp6t4oS6UXjxikO5n7
0.344,0.497,9.0,-9.295,0.0,0.0366,0.0167,0.453,0.108,0.356,127.707,2.0,573Z2Dty5epeNgKsgoDOlr
0.529,0.861,11.0,-10.581,1.0,0.0784,0.292,0.225,0.314,0.387,96.52,10.0,07KYQySlrmE94gaLbhvp4X
0.226,0.585,2.0,-9.965,1.0,0.0343,0.128,0.0233,0.112,0.655,180.495,4.0,3jBCwLVmmfKUH8321N4bdd
0.297,0.27,0.0,-15.79,1.0,0.0434,0.0764,0.00117,0.15,0.103,104.126,11.0,2jzjhQa7nLIaDMhMjSzedd
0.642,0.56,4.0,-13.159,1.0,0.0749,0.376,0.788,0.499,0.832,92.588,2.0,14hykKy6TC9y6chiptCtje
0.377,0.0849,2.0,-17.892,1.0,0.039,0.882,0.0607,0.19,0.354,85.022,11.0,2AF1drAUmMi8ZX0U97UJLw
0.591,0.416,7.0,-15.476,1.0,0.0459,0.43,0.0,0.648,0.803,126.881,12.0,5v0ibjQegpYdMUGL95dI1a
0.471,0.258,7.0,-19.476,1.0,0.0346,0.576,8.16e-05,0.11,0.0908,110.634,11.0,3URRBJKRfCnlit1jVoncUD
0.268,0.567,9.0,-17.114,0.0,0.0355,0.0529,0.681,0.157,0.518,163.057,2.0,3IPpgcViKQ2E81XgMnT3yw
0.84,0.393,5.0,-15.199,1.0,0.0405,0.557,2.9e-06,0.102,0.809,128.234,11.0,1RMa7sVQua8dMiqixX2bYM
0.432,0.823,0.0,-9.216,1.0,0.116,0.249,0.00572,0.0953,0.381,132.21,10.0,4OjqrdD3QILzxkGwNoMk0c
0.247,0.66,9.0,-7.631,1.0,0.0369,0.0148,0.000286,0.0884,0.612,114.801,10.0,4GOpMcPnnF9mtHNYgUPep6
0.581,0.368,9.0,-13.929,1.0,0.0324,0.774,0.187,0.114,0.548,105.652,11.0,58divL3uaZBaxs73jVHisg
0.472,0.391,11.0,-13.581,0.0,0.0273,0.196,0.844,0.272,0.399,99.395,2.0,35VcWn3lZ4ne9mhN8uMrFm
0.255,0.657,3.0,-6.525,1.0,0.0454,0.000659,0.174,0.107,0.332,158.809,4.0,1kjCyBnjlxZxZv9RNlXBbd
